chrom	start	end	DNase.counts	DNase.counts.RPM	DNase.counts.RPKM	H3K4me3.counts	H3K4me3.counts.RPM	H3K4me3.counts.RPKM	CTCF.counts	CTCF.counts.RPM	CTCF.counts.RPKM	H3K27ac.counts	H3K27ac.counts.RPM	H3K27ac.counts.RPKM	CAGE.counts	CAGE.counts.RPM	CAGE.counts.RPKM
chr1	3774714	3775214	473	15.269325397330121	30.538650794660242	15	0.5326089094676346	1.0652178189352692	19	0.6433900560680571	1.2867801121361142	109	1.5414729914274585	3.082945982854917	2	0.0720004348826267	0.1440008697652534
chr1	3774714	3775214	473	15.269325397330121	30.538650794660242	15	0.5326089094676346	1.0652178189352692	19	0.6433900560680571	1.2867801121361142	109	1.5414729914274585	3.082945982854917	2	0.0720004348826267	0.1440008697652534
chr1	3774714	3775214	473	15.269325397330121	30.538650794660242	15	0.5326089094676346	1.0652178189352692	19	0.6433900560680571	1.2867801121361142	109	1.5414729914274585	3.082945982854917	2	0.0720004348826267	0.1440008697652534
chr10	125816658	125816735	113	3.647851521983729	47.37469509069778	6	0.21304356378705386	2.7667995297019985	0	0.0	0.0	13	0.18384540264731158	2.3876026317832673	44	1.5840095674177872	20.571552823607625
chr11	3261795	3262295	10	0.32281871875962204	0.6456374375192441	2	0.07101452126235129	0.14202904252470258	0	0.0	0.0	7	0.09899367834855238	0.19798735669710477	0	0.0	0.0
chr11	3262515	3263015	14	0.4519462062634708	0.9038924125269416	1	0.035507260631175645	0.07101452126235129	0	0.0	0.0	27	0.38183275934441635	0.7636655186888327	0	0.0	0.0
chr11	3307615	3308115	44	1.4204023625423368	2.8408047250846735	1	0.035507260631175645	0.07101452126235129	2	0.06772526905979549	0.13545053811959099	18	0.25455517289627755	0.5091103457925551	0	0.0	0.0
chr11	3324555	3325055	8	0.2582549750076976	0.5165099500153952	0	0.0	0.0	1	0.033862634529897746	0.06772526905979549	5	0.07070977024896599	0.14141954049793198	0	0.0	0.0
chr11	3339935	3340435	109	3.51872403447988	7.03744806895976	8	0.28405808504940516	0.5681161700988103	15	0.5079395179484661	1.0158790358969323	71	1.004078737535317	2.008157475070634	2	0.0720004348826267	0.1440008697652534
chr11	3341195	3341715	38	1.2267111312865637	2.359059867858776	5	0.17753630315587823	0.3414159676074582	160	5.418021524783639	10.419272163045461	31	0.43840057554358913	0.8430780298915176	0	0.0	0.0
chr11	3345635	3346135	121	3.9061064969914265	7.812212993982853	10	0.35507260631175647	0.7101452126235129	38	1.2867801121361142	2.5735602242722284	58	0.8202333348880054	1.6404666697760109	0	0.0	0.0
